name,label,category,subcategory
20241213_Q1_grouper.png,HC_encr,CORAL (CO),Encrusting ( ENCR)
20241213_Q1_grouper.png,HC_encr,CORAL (CO),Encrusting ( ENCR)
20241213_Q1_grouper.png,CCA,CRUSTOSE CORALLINE ALGAE (CCA),Crustose Coraline Algae (CCA)
20241213_Q1_grouper.png,CCA,CRUSTOSE CORALLINE ALGAE (CCA),Crustose Coraline Algae (CCA)
20241213_Q1_grouper.png,CCA,CRUSTOSE CORALLINE ALGAE (CCA),Crustose Coraline Algae (CCA)
20241213_Q1_grouper.png,CCA,CRUSTOSE CORALLINE ALGAE (CCA),Crustose Coraline Algae (CCA)
20241213_Q1_grouper.png,HC_encr,CORAL (CO),Encrusting ( ENCR)
20241213_Q1_grouper.png,HC_encr,CORAL (CO),Encrusting ( ENCR)
20241213_Q1_grouper.png,SP_mass,SPONGE (SP),Sponge Massive (SPM)
20241213_Q1_grouper.png,Rubble,RUBBLE (RB),Rubble (Not Coral) (RB)
20241213_Q1_grouper.png,HC_encr,CORAL (CO),Encrusting ( ENCR)
20241213_Q1_grouper.png,HC_encr,CORAL (CO),Encrusting ( ENCR)
20241213_Q1_grouper.png,Turf,TURF ALGAE (TA),Turf Algae (TA)
20241213_Q1_grouper.png,Turf,TURF ALGAE (TA),Turf Algae (TA)
20241213_Q1_grouper.png,C-Rubble,Dead Coral (DC),Dead Coral Rock (DCR)
20241213_Q1_grouper.png,CCA_RB,CRUSTOSE CORALLINE ALGAE (CCA),Crustose Coraline Algae (CCA)
20241213_Q1_grouper.png,CCA_RB,CRUSTOSE CORALLINE ALGAE (CCA),Crustose Coraline Algae (CCA)
20241213_Q1_grouper.png,C-Rubble,Dead Coral (DC),Dead Coral Rock (DCR)
20241213_Q1_grouper.png,C-Rubble,Dead Coral (DC),Dead Coral Rock (DCR)
20241213_Q1_grouper.png,HC_encr,CORAL (CO),Encrusting ( ENCR)
20241213_Q1_grouper.png,C-Rubble,Dead Coral (DC),Dead Coral Rock (DCR)
20241213_Q1_grouper.png,C-Rubble,Dead Coral (DC),Dead Coral Rock (DCR)
20241213_Q1_grouper.png,C-Rubble,Dead Coral (DC),Dead Coral Rock (DCR)
20241213_Q1_grouper.png,HC_encr,CORAL (CO),Encrusting ( ENCR)
20241213_Q1_grouper.png,C-Rubble,Dead Coral (DC),Dead Coral Rock (DCR)
20241213_Q1_grouper.png,HC_encr,CORAL (CO),Encrusting ( ENCR)
20241213_Q1_grouper.png,Turf,TURF ALGAE (TA),Turf Algae (TA)
20241213_Q1_grouper.png,HC_encr,CORAL (CO),Encrusting ( ENCR)
20241213_Q1_grouper.png,Turf,TURF ALGAE (TA),Turf Algae (TA)
20241213_Q1_grouper.png,HC_encr,CORAL (CO),Encrusting ( ENCR)
20241213_Q1_grouper.png,D_coral,Dead Coral (DC),Dead Coral Rock (DCR)
20241213_Q1_grouper.png,OTH,OTHERS (OTS),Others (OTS)
20241213_Q1_grouper.png,HC_massive,CORAL (CO),Massive (MAS)
20241213_Q1_grouper.png,HC_massive,CORAL (CO),Massive (MAS)
20241213_Q1_grouper.png,HC_encr,CORAL (CO),Encrusting ( ENCR)
20241213_Q1_grouper.png,CCA,CRUSTOSE CORALLINE ALGAE (CCA),Crustose Coraline Algae (CCA)
20241213_Q1_grouper.png,Coral_TA,TURF ALGAE (TA),Rubble with Turf Algae ( CCA)
20241213_Q1_grouper.png,Coral_TA,TURF ALGAE (TA),Rubble with Turf Algae ( CCA)
20241213_Q1_grouper.png,Coral_TA,TURF ALGAE (TA),Rubble with Turf Algae ( CCA)
20241213_Q1_grouper.png,CCA,CRUSTOSE CORALLINE ALGAE (CCA),Crustose Coraline Algae (CCA)
20241213_Q1_grouper.png,CCA,CRUSTOSE CORALLINE ALGAE (CCA),Crustose Coraline Algae (CCA)
20241213_Q1_grouper.png,Sand,SAND (SA),Sand (SA)
20241213_Q1_grouper.png,Coral_TA,TURF ALGAE (TA),Rubble with Turf Algae ( CCA)
20241213_Q1_grouper.png,Coral_TA,TURF ALGAE (TA),Rubble with Turf Algae ( CCA)
20241213_Q1_grouper.png,Coral_TA,TURF ALGAE (TA),Rubble with Turf Algae ( CCA)
20241213_Q1_grouper.png,CCA,CRUSTOSE CORALLINE ALGAE (CCA),Crustose Coraline Algae (CCA)
20241213_Q1_grouper.png,CCA,CRUSTOSE CORALLINE ALGAE (CCA),Crustose Coraline Algae (CCA)
20241213_Q1_grouper.png,Coral_TA,TURF ALGAE (TA),Rubble with Turf Algae ( CCA)
20241213_Q1_grouper.png,Coral_TA,TURF ALGAE (TA),Rubble with Turf Algae ( CCA)
20241213_Q1_grouper.png,D_coral,Dead Coral (DC),Dead Coral Rock (DCR)
20241213_Q1_grouper.png,D_coral,Dead Coral (DC),Dead Coral Rock (DCR)
20241213_Q1_grouper.png,D_coral,Dead Coral (DC),Dead Coral Rock (DCR)
20241213_Q1_grouper.png,HC_massive,CORAL (CO),Massive (MAS)
20241213_Q1_grouper.png,Sand,SAND (SA),Sand (SA)
20241213_Q1_grouper.png,Sand,SAND (SA),Sand (SA)
20241213_Q1_grouper.png,HcT,CORAL (CO),Tabulate (TAB)
20241213_Q1_grouper.png,HcT,CORAL (CO),Tabulate (TAB)
20241213_Q1_grouper.png,CCA,CRUSTOSE CORALLINE ALGAE (CCA),Crustose Coraline Algae (CCA)
20241213_Q1_grouper.png,CCA,CRUSTOSE CORALLINE ALGAE (CCA),Crustose Coraline Algae (CCA)
20241213_Q1_grouper.png,Sand,SAND (SA),Sand (SA)
20241213_Q1_grouper.png,Turf,TURF ALGAE (TA),Turf Algae (TA)
20241213_Q1_grouper.png,Turf,TURF ALGAE (TA),Turf Algae (TA)
20241213_Q1_grouper.png,Turf,TURF ALGAE (TA),Turf Algae (TA)
20241213_Q1_grouper.png,HcD,CORAL (CO),Digitate (DIG)
20241213_Q1_grouper.png,Turf,TURF ALGAE (TA),Turf Algae (TA)
20241213_Q1_grouper.png,CCA,CRUSTOSE CORALLINE ALGAE (CCA),Crustose Coraline Algae (CCA)
20241213_Q1_grouper.png,Turf,TURF ALGAE (TA),Turf Algae (TA)
20241213_Q1_grouper.png,SP_enc,SPONGE (SP),Sponge Encrusting (SPE)
20241213_Q1_grouper.png,Turf,TURF ALGAE (TA),Turf Algae (TA)
20241213_Q1_grouper.png,Turf,TURF ALGAE (TA),Turf Algae (TA)
20241213_Q1_grouper.png,Coral_TA,TURF ALGAE (TA),Rubble with Turf Algae ( CCA)
20241213_Q1_grouper.png,HC_massive,CORAL (CO),Massive (MAS)
20241213_Q1_grouper.png,Turf,TURF ALGAE (TA),Turf Algae (TA)
20241213_Q1_grouper.png,HC_massive,CORAL (CO),Massive (MAS)
20241213_Q1_grouper.png,Turf,TURF ALGAE (TA),Turf Algae (TA)
20241213_Q1_grouper.png,Turf,TURF ALGAE (TA),Turf Algae (TA)
20241213_Q1_grouper.png,D_coral,Dead Coral (DC),Dead Coral Rock (DCR)
20241213_Q1_grouper.png,D_coral,Dead Coral (DC),Dead Coral Rock (DCR)
20241213_Q1_grouper.png,D_coral,Dead Coral (DC),Dead Coral Rock (DCR)
20241213_Q1_grouper.png,Sand,SAND (SA),Sand (SA)
20241213_Q1_grouper.png,CCA,CRUSTOSE CORALLINE ALGAE (CCA),Crustose Coraline Algae (CCA)
20241213_Q1_grouper.png,CCA,CRUSTOSE CORALLINE ALGAE (CCA),Crustose Coraline Algae (CCA)
20241213_Q1_grouper.png,CCA,CRUSTOSE CORALLINE ALGAE (CCA),Crustose Coraline Algae (CCA)
20241213_Q1_grouper.png,Coral_TA,TURF ALGAE (TA),Rubble with Turf Algae ( CCA)
20241213_Q1_grouper.png,Turf,TURF ALGAE (TA),Turf Algae (TA)
20241213_Q1_grouper.png,Turf,TURF ALGAE (TA),Turf Algae (TA)
20241213_Q1_grouper.png,D_coral,Dead Coral (DC),Dead Coral Rock (DCR)
20241213_Q1_grouper.png,CCA,CRUSTOSE CORALLINE ALGAE (CCA),Crustose Coraline Algae (CCA)
20241213_Q1_grouper.png,CCA,CRUSTOSE CORALLINE ALGAE (CCA),Crustose Coraline Algae (CCA)
20241213_Q1_grouper.png,Turf,TURF ALGAE (TA),Turf Algae (TA)
20241213_Q1_grouper.png,Turf,TURF ALGAE (TA),Turf Algae (TA)
20241213_Q1_grouper.png,HC_massive,CORAL (CO),Massive (MAS)
20241213_Q1_grouper.png,HC_massive,CORAL (CO),Massive (MAS)
20241213_Q1_grouper.png,Turf,TURF ALGAE (TA),Turf Algae (TA)
20241213_Q1_grouper.png,C-Rubble,Dead Coral (DC),Dead Coral Rock (DCR)
20241213_Q1_grouper.png,C-Rubble,Dead Coral (DC),Dead Coral Rock (DCR)
20241213_Q1_grouper.png,C-Rubble,Dead Coral (DC),Dead Coral Rock (DCR)
20241213_Q1_grouper.png,CCA,CRUSTOSE CORALLINE ALGAE (CCA),Crustose Coraline Algae (CCA)
20241213_Q1_grouper.png,Turf,TURF ALGAE (TA),Turf Algae (TA)
20241213_Q1_grouper.png,Turf,TURF ALGAE (TA),Turf Algae (TA)
20241213_Q2_barracuda.png,Malgae,MACROALGAE ( AG),Macroalgae (ALG)
20241213_Q2_barracuda.png,Coral_TA,TURF ALGAE (TA),Rubble with Turf Algae ( CCA)
20241213_Q2_barracuda.png,Coral_TA,TURF ALGAE (TA),Rubble with Turf Algae ( CCA)
20241213_Q2_barracuda.png,Sand,SAND (SA),Sand (SA)
20241213_Q2_barracuda.png,Coral_TA,TURF ALGAE (TA),Rubble with Turf Algae ( CCA)
20241213_Q2_barracuda.png,Sand,SAND (SA),Sand (SA)
20241213_Q2_barracuda.png,Turf,TURF ALGAE (TA),Turf Algae (TA)
20241213_Q2_barracuda.png,Turf,TURF ALGAE (TA),Turf Algae (TA)
20241213_Q2_barracuda.png,Turf,TURF ALGAE (TA),Turf Algae (TA)
20241213_Q2_barracuda.png,Turf,TURF ALGAE (TA),Turf Algae (TA)
20241213_Q2_barracuda.png,Sand,SAND (SA),Sand (SA)
20241213_Q2_barracuda.png,Coral_TA,TURF ALGAE (TA),Rubble with Turf Algae ( CCA)
20241213_Q2_barracuda.png,Coral_TA,TURF ALGAE (TA),Rubble with Turf Algae ( CCA)
20241213_Q2_barracuda.png,Coral_TA,TURF ALGAE (TA),Rubble with Turf Algae ( CCA)
20241213_Q2_barracuda.png,Coral_TA,TURF ALGAE (TA),Rubble with Turf Algae ( CCA)
20241213_Q2_barracuda.png,Coral_TA,TURF ALGAE (TA),Rubble with Turf Algae ( CCA)
20241213_Q2_barracuda.png,Coral_TA,TURF ALGAE (TA),Rubble with Turf Algae ( CCA)
20241213_Q2_barracuda.png,Coral_TA,TURF ALGAE (TA),Rubble with Turf Algae ( CCA)
20241213_Q2_barracuda.png,Sand,SAND (SA),Sand (SA)
20241213_Q2_barracuda.png,Sand,SAND (SA),Sand (SA)
20241213_Q2_barracuda.png,HC_massive,CORAL (CO),Massive (MAS)
20241213_Q2_barracuda.png,Sand,SAND (SA),Sand (SA)
20241213_Q2_barracuda.png,Sand,SAND (SA),Sand (SA)
20241213_Q2_barracuda.png,Rubble,RUBBLE (RB),Rubble (Not Coral) (RB)
20241213_Q2_barracuda.png,HC_massive,CORAL (CO),Massive (MAS)
20241213_Q2_barracuda.png,HC_massive,CORAL (CO),Massive (MAS)
20241213_Q2_barracuda.png,Turf,TURF ALGAE (TA),Turf Algae (TA)
20241213_Q2_barracuda.png,D_coral,Dead Coral (DC),Dead Coral Rock (DCR)
20241213_Q2_barracuda.png,Coral_TA,TURF ALGAE (TA),Rubble with Turf Algae ( CCA)
20241213_Q2_barracuda.png,Sand,SAND (SA),Sand (SA)
