individual,time,behaviour
20250127_positive-control_0_1,118201.41666666667,Feeding
20250127_positive-control_0_1,121004.21666666667,Bite
20250127_positive-control_0_1,124624.50000000001,Feeding
20250127_positive-control_0_2,118685.23333333334,Moving
20250127_positive-control_0_2,124257.46666666667,Vigilance
20250127_positive-control_0_2,135385.25,Vigilance
20250127_positive-control_0_3,120820.7,Feeding
20250127_positive-control_0_3,121805.01666666668,Bite
20250127_positive-control_0_3,122956.16666666667,Bite
20250127_positive-control_0_3,125992.53333333334,Bite
20250127_positive-control_0_3,130997.53333333334,Bite
20250127_positive-control_0_3,131164.36666666667,Bite
20250127_positive-control_0_3,137504.03333333335,Bite
20250127_positive-control_0_3,144344.2,Bite
20250127_positive-control_0_3,157807.65,Bite
20250127_positive-control_0_3,160610.45,Bite
20250127_positive-control_0_3,173039.53333333333,Bite
20250127_positive-control_0_3,173273.1,Bite
20250127_positive-control_0_3,177193.68333333335,Bite
20250127_positive-control_0_4,173723.55000000002,Feeding
20250127_positive-control_0_4,175825.65,Bite
20250127_positive-control_0_4,178394.88333333336,Bite
20250127_positive-control_0_5,197480.61666666667,Moving
20250127_positive-control_0_6,213379.83333333334,Moving
20250127_positive-control_1_7,285668.7166666667,Feeding
20250127_positive-control_1_8,289656.0333333334,Feeding
20250127_positive-control_1_8,289656.0333333334,Bite
20250127_positive-control_1_8,289656.0333333334,Bite
20250127_positive-control_1_8,290089.80000000005,Bite
20250127_positive-control_1_8,290423.4666666667,Bite
20250127_positive-control_1_8,290923.9666666667,Bite
20250127_positive-control_1_8,291774.8166666667,Bite
20250127_positive-control_1_8,292558.93333333335,Bite
20250127_positive-control_1_8,293293.0,Bite
20250127_positive-control_1_8,293943.64999999997,Bite
20250127_positive-control_1_8,295928.9666666667,Moving
20250127_positive-control_1_8,297130.1666666667,Moving
20250127_positive-control_1_8,299699.4,Vigilance
20250127_positive-control_1_8,300016.38333333336,Vigilance
20250127_positive-control_1_9,290556.93333333335,Moving
20250127_positive-control_1_10,303019.38333333336,Moving
20250127_positive-control_1_11,341024.01666666666,Moving
20250127_positive-control_1_12,341174.1666666667,Moving
20250127_positive-control_1_13,379011.9666666667,Moving
20250127_positive-control_2_14,197313.78333333333,Moving
20250127_positive-control_2_15,198965.43333333335,Feeding
20250127_positive-control_2_15,200216.68333333335,Bite
20250127_positive-control_2_15,200967.43333333332,Bite
20250127_positive-control_2_15,202118.58333333334,Moving
20250127_positive-control_2_16,217250.36666666667,Moving
20250127_positive-control_3_17,224958.06666666668,Feeding
20250127_positive-control_3_17,225208.31666666668,Bite
20250127_positive-control_3_18,227143.58333333334,Moving
20250127_positive-control_3_19,232115.21666666667,Moving
20250127_positive-control_3_20,242342.1,Moving
20250127_positive-control_3_21,244244.0,Moving
20250127_positive-control_3_22,250416.83333333337,Moving
20250127_positive-control_3_23,250900.65000000002,Moving
20250127_positive-control_3_24,256439.5166666667,Moving
20250127_positive-control_3_25,257240.31666666668,Moving
20250127_positive-control_3_26,261928.33333333334,Moving
20250127_positive-control_3_27,267967.7,Moving
20250127_positive-control_3_28,268601.6666666667,Moving
20250127_positive-control_3_29,278861.9166666667,Feeding
20250127_positive-control_3_29,283383.10000000003,Bite
20250127_positive-control_3_29,283900.2833333333,Bite
20250127_positive-control_3_29,283516.56666666665,Bite
20250127_positive-control_3_29,290223.26666666666,Moving
20250127_positive-control_3_30,281180.9,Moving
20250127_positive-control_3_31,281147.5333333333,Feeding
20250127_positive-control_3_31,281648.0333333333,Bite
20250127_positive-control_3_31,283733.45,Bite
20250127_positive-control_3_31,284951.3333333334,Bite
20250127_positive-control_3_31,281614.6666666667,Bite
20250127_positive-control_3_31,288321.3666666667,Bite
20250127_positive-control_3_31,290239.95,Bite
20250127_positive-control_3_31,291791.50000000006,Bite
20250127_positive-control_3_31,293326.3666666667,Bite
20250127_positive-control_3_31,293776.81666666665,Bite
20250127_positive-control_3_31,294927.9666666667,Bite
20250127_positive-control_3_31,296129.1666666667,Bite
20250127_positive-control_3_31,297180.2166666667,Bite
20250127_positive-control_3_31,297730.76666666666,Bite
20250127_positive-control_3_31,298681.7166666667,Bite
20250127_positive-control_3_31,299716.0833333334,Bite
20250127_positive-control_3_31,300550.25,Bite
20250127_positive-control_3_31,301868.23333333334,Bite
20250127_positive-control_3_31,303853.55000000005,Bite
20250127_positive-control_3_31,305221.5833333333,Bite
20250127_positive-control_3_31,306489.5166666667,Bite
20250127_positive-control_3_31,307073.43333333335,Bite
20250127_positive-control_3_31,309008.7,Bite
20250127_positive-control_3_31,310410.1,Bite
20250127_positive-control_3_31,313179.5333333333,Bite
20250127_positive-control_3_31,316833.18333333335,Bite
20250127_positive-control_3_31,318234.5833333334,Bite
20250127_positive-control_3_31,321004.0166666667,Bite
20250127_positive-control_3_32,313229.5833333333,Feeding
20250127_positive-control_3_32,315231.5833333333,Bite
20250127_positive-control_3_32,319602.6166666667,Bite
20250127_positive-control_3_32,320219.9,Bite
20250127_positive-control_3_32,320470.14999999997,Bite
20250127_positive-control_4_33,110693.91666666667,Feeding
20250127_positive-control_4_33,111211.1,Bite
20250127_positive-control_4_33,113980.53333333334,Bite
20250127_positive-control_4_33,127043.58333333334,Bite
20250127_positive-control_4_33,130830.70000000001,Bite
20250127_positive-control_7_34,405671.93333333335,Feeding
20250127_positive-control_7_34,407807.4,Bite
20250127_positive-control_7_34,405972.23333333334,Bite
20250127_positive-control_8_35,17600.916666666668,Moving
20250127_positive-control_8_36,46796.75,Moving
20250127_positive-control_8_37,46629.916666666664,Feeding
20250127_positive-control_8_37,49649.6,Bite
20250127_positive-control_8_37,51351.3,Bite
20250127_positive-control_8_37,52802.75,Bite
20250127_positive-control_8_37,54421.03333333333,Bite
20250127_positive-control_8_37,54904.850000000006,Bite
20250127_positive-control_8_37,55989.26666666667,Bite
20250127_positive-control_8_37,60610.55,Bite
20250127_positive-control_8_37,61111.05,Bite
20250127_positive-control_8_37,66933.53333333333,Bite
20250127_positive-control_8_38,47297.25000000001,Feeding
20250127_positive-control_8_38,50533.816666666666,Bite
20250127_positive-control_8_38,51134.416666666664,Bite
20250127_positive-control_8_38,53153.1,Bite
20250127_positive-control_8_38,55538.816666666666,Bite
20250127_positive-control_8_38,60293.56666666667,Bite
20250127_positive-control_8_38,61327.933333333334,Bite
20250127_positive-control_8_38,63329.933333333334,Bite
20250127_positive-control_8_38,68368.3,Bite
20250127_positive-control_8_38,73256.51666666666,Bite
20250127_positive-control_8_38,73890.48333333334,Bite
20250127_positive-control_9_39,368034.3333333333,Moving
20250107_barracuda_0_40,51234.51666666667,Moving
20250107_barracuda_0_41,54788.06666666667,Moving
20250107_barracuda_0_41,84017.26666666668,Vigilance
20250107_barracuda_0_41,94878.11666666667,Moving
20250107_barracuda_0_42,60210.15000000001,Moving
20250107_barracuda_0_43,65165.10000000001,Moving
20250107_barracuda_0_43,78962.21666666667,Conspecific aggression
20250107_barracuda_0_44,74257.51666666668,Vigilance
20250107_barracuda_0_45,77944.53333333334,Vigilance
20250107_barracuda_0_46,81197.78333333334,Vigilance
20250107_barracuda_0_47,88188.1,Vigilance
20250107_barracuda_1_48,137754.28333333335,Moving
20250107_barracuda_1_49,154904.75,Moving
20250107_barracuda_1_49,156456.3,Predator avoidance
20250107_barracuda_1_50,173873.7,Moving
20250107_barracuda_2_51,397880.8166666667,Moving
20250107_barracuda_2_52,402618.88333333336,Moving
20250107_barracuda_2_52,422789.0333333333,Vigilance
20250107_barracuda_2_52,429095.3333333334,Moving
20250107_barracuda_2_53,416499.4166666667,Moving
20250107_barracuda_3_54,411661.25,Feeding
20250107_barracuda_3_54,421821.4,Moving
20250107_barracuda_3_54,461010.55000000005,Feeding
20250107_barracuda_3_54,465064.60000000003,Bite
20250107_barracuda_3_54,473523.05,Moving
20250107_barracuda_3_55,413045.9666666667,Moving
20250107_barracuda_3_56,470353.2166666667,Moving
20250107_barracuda_4_57,79212.46666666667,Moving
20250107_barracuda_4_58,81064.31666666667,Moving
20250107_barracuda_4_59,85602.18333333335,Feeding
20250107_barracuda_4_59,85602.18333333335,Bite
20250107_barracuda_4_59,85602.18333333335,Bite
20250107_barracuda_4_59,92008.58333333333,Bite
20250107_barracuda_4_59,92342.25,Bite
20250107_barracuda_4_59,103686.91666666667,Vigilance
20250107_barracuda_4_59,112562.45,Moving
20250107_barracuda_4_60,88655.23333333334,Feeding
20250107_barracuda_4_60,98214.78333333334,Vigilance
20250107_barracuda_4_60,99616.18333333333,Bite
20250107_barracuda_4_60,100216.78333333334,Bite
20250107_barracuda_4_61,94644.55,Vigilance
20250107_barracuda_4_61,101451.35,Moving
20250107_barracuda_4_61,137170.36666666667,Vigilance
20250107_barracuda_4_61,143543.40000000002,Moving
20250107_barracuda_4_61,157740.91666666666,Vigilance
20250107_barracuda_7_62,83266.51666666668,Moving
20250107_barracuda_7_63,85118.36666666667,Moving
20250107_barracuda_7_64,90590.5,Vigilance
20250107_barracuda_7_64,145211.73333333334,Moving
20250107_barracuda_7_65,93843.75,Vigilance
20250107_barracuda_7_65,102051.95000000001,Moving
20250107_barracuda_7_66,112245.46666666667,Feeding
20250107_barracuda_7_66,119052.26666666666,Bite
20250107_barracuda_7_66,119819.70000000001,Moving
20250107_barracuda_7_67,117150.36666666667,Moving
20250107_barracuda_7_67,119352.56666666668,Predator avoidance
20250107_grouper_0_68,219569.35,Vigilance
20250107_grouper_0_68,317183.5333333333,Moving
20250107_grouper_0_69,225291.73333333337,Moving
20250107_grouper_0_70,239339.1,Moving
20250107_grouper_1_71,187220.36666666667,Moving
20250107_grouper_1_71,202752.55000000002,Vigilance
20250107_grouper_1_71,216032.48333333334,Moving
20250107_grouper_1_72,204053.85,Feeding
20250107_grouper_1_72,209492.61666666667,Bite
20250107_grouper_1_72,212879.33333333334,Bite
20250107_grouper_1_72,214581.03333333335,Bite
20250107_grouper_1_72,222689.13333333333,Bite
20250107_grouper_1_72,229195.63333333336,Bite
20250107_grouper_1_72,230997.43333333332,Bite
20250107_grouper_1_72,245495.25,Bite
20250107_grouper_1_73,213546.6666666667,Moving
20250107_grouper_1_74,233433.2,Vigilance
20250107_grouper_1_74,238471.56666666668,Moving
20250107_grouper_2_75,432899.13333333336,Feeding
