index,species,size_class,time,remarks
PRED_20250127_positive-control_2_1,grouper,10-20,177844.33333333334,
PRED_20250107_barracuda_0_1,ui_grouper,10-20,92075.31666666667,
PRED_20250107_grouper_4_1,Lutjanus decusatus,20-30,394377.31666666665,
PRED_20250107_positive-control_4_1,Lutjanus decusatus,20-30,211077.53333333335,
PRED_20250109_barracuda_0_1,Lutjanus decusatus,20-30,128962.16666666666,
PRED_20250109_negative-control_5_1,Lujanus decusatus,10-20,343593.25,
PRED_20250109_positive-control_1_1,Grouper,10-20,267583.98333333334,
PRED_20241213_baracuda_0_1,Grouper,30-40,148681.86666666667,
PRED_20241213_baracuda_2_1,Grouper,20-30,101718.28333333333,
PRED_20241228_baracuda_3_1,Lutjanus decusatus,20-30,154737.9166666667,
PRED_20241228_grouper_3_1,Grouper,20-30,228144.58333333334,
PRED_20241230_barracuda_0_1,Lutjanus decusatus,20-30,397480.4166666667,
PRED_20241230_barracuda_1_1,Grouper,10-20,145528.71666666667,
PRED_20241230_grouper_2_1,Lujanus decusatus,20-30,333700.0333333333,
PRED_20241230_positive-control_8_1,Lujanus decusatus,20-30,196262.73333333334,
PRED_20250103_barracuda_4_1,Lutjanus decusatus,20-30,97147.05,
PRED_20250103_grouper_3_1,Lutjanus decusatus,20-30,137904.43333333335,
PRED_20250103_negative-control_0_1,Lutjanus decusatus,20-30,338654.98333333334,
PRED_20250103_negative-control_2_1,Lutjanus decusatus,20-30,434300.5333333334,
PRED_20250103_positive-control_4_1,Lujanus decusatus,20-30,436586.15,
PRED_20250114_grouper_5_1,Grouper,10-20,94794.70000000001,
PRED_20250114_positive-control_4_1,Lutjanus decusatus,20-30,199916.38333333336,
PRED_20250118_barracuda_4_1,Grouper,10-20,124808.01666666668,
PRED_20250118_negative-control_3_1,Grouper,10-20,98314.88333333335,
PRED_20250118_negative-control_5_1,Lutjanus decusatus,10-20,27961.266666666666,
PRED_20250118_positive-control_6_1,Lutjanus decusatus,10-20,97547.45,
PRED_20250123_positive-control_1_1,Lujanus decusatus,10-20,299615.98333333334,
PRED_20250127_barracuda_4_1,Lutjanus decusatus,20-30,264380.7833333333,
PRED_20250127_grouper_4_1,Lutjanus decusatus,10-20,114998.21666666667,
PRED_20250127_negative-control_3_1,Lutjanus decusatus,20-30,82832.75,
