Class,Order,Family,Genus,Species,Common.Name,X.M.F.Both.,Length..cm.,Height,Diet,Feeding.Guild,Habitat,Water.Column,reference
Actinopterygii,Beloniformes,Zenarchopteridae,Zenarchopterus,dispar,Feathered river-garfish,Both,NA,NA,NA,NA,"Estuaries, coral reefs, mangroves",Benthic,https://www.fishbase.se/photos/ThumbnailsSummary.php?ID=9648
Actinopterygii,Perciformes ,Acanthuridae,Zebrasoma ,desjardinii,Desjardin's sailfin tang,Both,22.1,8.64,Algae,Herbivore,"Lagoons, seaward reefs",Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?need2save=&tosave=&TRPP=1&id=58791&what=species&personnel=&user_session=&lme=&StartRow=6&TotRec=9&SortBy=iucn
Actinopterygii,Perciformes ,Acanthuridae,Zebrasoma ,scopas,Brushtail tang,Both,28.4,9.87,Algae,Herbivore,"Lagoons, seaward reefs",Benthopelagic,
Actinopterygii,Perciformes ,Acanthuridae,Zebrasoma ,flavescens,Yellow tang ,Both,18.3,8.2,Algae,Herbivore,"Lagoons, seaward reefs",Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=6018&what=species&TotRec=6
Actinopterygii,Perciformes ,Acanthuridae,Zebrasoma ,xanthurum,Yellow-tail surgeonfish,Both,14.9,7.18,Algae,Herbivore,Reefs,Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=12023&what=species&TotRec=8
Actinopterygii,Perciformes ,Acanthuridae,Zebrasoma ,rostratum,Longnose surgeonfish,Both,21,7.97,Algae,Herbivore,"Lagoons, seaward reefs",Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=25802&what=species&TotRec=2
Actinopterygii,Perciformes ,Zanclidae,Zanclus,cornutus,Moorish idol,,,,,"Herbivore, invertivore",,Benthopelagic,
Actinopterygii,Eupercaria,Labridae,Wetmorella,albofasciata,Whitebanded sharpnose wrasse,Both,4.1,1.22,Unknown,Invertivore,"Lagoons, seaward reefs","Benthic, benthopelagic",https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=4869&what=species&TotRec=3
Actinopterygii,Eupercaria,Labridae,Wetmorella,nigropinnata,Sharpnose wrasse,Both,5.4,1.67,Invertebrates,Invertivore,"Lagoons, seaward reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=4870&what=species&TotRec=8
Actinopterygii,Pecriformes,Serranidae,Variola ,louti,Yellow-edged lyretail,Both,38.1,9.12,"Fishes, crabs, shrimps, stomatopods","Invertivore, piscivore","Lagoons, outer reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=4&ID=5354&what=species&TotRec=9
Actinopterygii,Pecriformes,Serranidae,Variola ,albimarginata,White-edged lyretail,Both,4.5,1.3,Fishes,Piscivore,"Coastal reefs, lagoons, outer reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=6478&what=species&TotRec=9
Actinopterygii,Perciformes ,Gobiidae,Valenciennea,strigata,Blueband goby,,,,,"Piscivore, Invertivore",,Benthic,
